"Plot Title: 10959074"
"#","Date Time, GMT-07:00","Counts, # (LGR S/N: 10959074, SEN S/N: 10959074, LBL: Motion CH1)","Counts, # (LGR S/N: 10959074, SEN S/N: 10959074, LBL: Motion CH2)"
506,11/02/18 04:32:50 PM,0,0
507,11/02/18 04:33:00 PM,2,2
508,11/02/18 04:33:10 PM,1,1
509,11/02/18 04:33:20 PM,0,0
510,11/02/18 04:33:30 PM,1,1
511,11/02/18 04:33:40 PM,1,0
512,11/02/18 04:33:50 PM,0,1
513,11/02/18 04:34:00 PM,0,0
514,11/02/18 04:34:10 PM,0,1
515,11/02/18 04:34:20 PM,0,0
516,11/02/18 04:34:30 PM,0,0
517,11/02/18 04:34:40 PM,0,1
518,11/02/18 04:34:50 PM,1,1
519,11/02/18 04:35:00 PM,1,1
520,11/02/18 04:35:10 PM,0,0
521,11/02/18 04:35:20 PM,1,1
522,11/02/18 04:35:30 PM,1,1
523,11/02/18 04:35:40 PM,0,0
524,11/02/18 04:35:50 PM,0,1
525,11/02/18 04:36:00 PM,1,0
526,11/02/18 04:36:10 PM,1,0
527,11/02/18 04:36:20 PM,1,1
528,11/02/18 04:36:30 PM,0,0
529,11/02/18 04:36:40 PM,1,1
530,11/02/18 04:36:50 PM,1,1
531,11/02/18 04:37:00 PM,1,1
532,11/02/18 04:37:10 PM,0,0
533,11/02/18 04:37:20 PM,0,0
534,11/02/18 04:37:30 PM,0,0
535,11/02/18 04:37:40 PM,1,1
536,11/02/18 04:37:50 PM,1,1
537,11/02/18 04:38:00 PM,0,0
538,11/02/18 04:38:10 PM,1,1
539,11/02/18 04:38:20 PM,0,1
540,11/02/18 04:38:30 PM,0,0
541,11/02/18 04:38:40 PM,0,0
542,11/02/18 04:38:50 PM,1,0
543,11/02/18 04:39:00 PM,1,0
544,11/02/18 04:39:10 PM,0,1
545,11/02/18 04:39:20 PM,1,1
546,11/02/18 04:39:30 PM,0,0
547,11/02/18 04:39:40 PM,0,1
548,11/02/18 04:39:50 PM,0,0
549,11/02/18 04:40:00 PM,0,0
550,11/02/18 04:40:10 PM,0,0
551,11/02/18 04:40:20 PM,1,0
552,11/02/18 04:40:30 PM,1,1
553,11/02/18 04:40:40 PM,1,1
554,11/02/18 04:40:50 PM,0,0
555,11/02/18 04:41:00 PM,1,1
556,11/02/18 04:41:10 PM,0,0
557,11/02/18 04:41:20 PM,1,1
558,11/02/18 04:41:30 PM,0,0
559,11/02/18 04:41:40 PM,1,0
560,11/02/18 04:41:50 PM,0,0
561,11/02/18 04:42:00 PM,1,1
562,11/02/18 04:42:10 PM,0,1
563,11/02/18 04:42:20 PM,1,1
564,11/02/18 04:42:30 PM,1,0
565,11/02/18 04:42:40 PM,0,0
566,11/02/18 04:42:50 PM,1,1
567,11/02/18 04:43:00 PM,0,0
568,11/02/18 04:43:10 PM,0,0
569,11/02/18 04:43:20 PM,1,0
570,11/02/18 04:43:30 PM,0,1
571,11/02/18 04:43:40 PM,0,1
572,11/02/18 04:43:50 PM,1,1
573,11/02/18 04:44:00 PM,1,0
574,11/02/18 04:44:10 PM,1,1
575,11/02/18 04:44:20 PM,0,0
576,11/02/18 04:44:30 PM,0,0
577,11/02/18 04:44:40 PM,1,1
578,11/02/18 04:44:50 PM,1,0
579,11/02/18 04:45:00 PM,1,1
580,11/02/18 04:45:10 PM,0,0
581,11/02/18 04:45:20 PM,1,1
582,11/02/18 04:45:30 PM,0,0
583,11/02/18 04:45:40 PM,0,0
584,11/02/18 04:45:50 PM,0,0
585,11/02/18 04:46:00 PM,0,0
586,11/02/18 04:46:10 PM,0,0
587,11/02/18 04:46:20 PM,0,0
588,11/02/18 04:46:30 PM,1,0
589,11/02/18 04:46:40 PM,0,0
590,11/02/18 04:46:50 PM,0,0
591,11/02/18 04:47:00 PM,0,0
592,11/02/18 04:47:10 PM,0,0
593,11/02/18 04:47:20 PM,0,0
594,11/02/18 04:47:30 PM,0,0
595,11/02/18 04:47:40 PM,0,0
596,11/02/18 04:47:50 PM,1,1
597,11/02/18 04:48:00 PM,0,0
598,11/02/18 04:48:10 PM,0,0
599,11/02/18 04:48:20 PM,0,0
600,11/02/18 04:48:30 PM,1,1
601,11/02/18 04:48:40 PM,0,1
602,11/02/18 04:48:50 PM,0,0
603,11/02/18 04:49:00 PM,1,0
604,11/02/18 04:49:10 PM,1,0
605,11/02/18 04:49:20 PM,0,0
606,11/02/18 04:49:30 PM,0,0
607,11/02/18 04:49:40 PM,0,0
608,11/02/18 04:49:50 PM,0,0
609,11/02/18 04:50:00 PM,0,0
610,11/02/18 04:50:10 PM,1,1
611,11/02/18 04:50:20 PM,1,0
